Parameter,Type,DOF,MaxEnergy,MinEnergy,Range,RelChange,Slope,ImpactScore
m_0,m,0,183856.7299126591,72568.6882802455,111288.0416324136,0.9701768200292684,-8818610.310240231,8555611.307866188
m_0,m,2,16498.539598905725,1160.9291255399758,15337.610473365748,2.7090149471503597,-1131195.8012909098,3064426.333850803
m_0,m,1,8687.118742567713,679.4278889449027,8007.69085362281,2.6277396699745603,-591774.9752643394,1555030.5782003186
m_0,m,7,120276.01716432034,112043.24241754129,8232.774746779047,0.0715705062615915,-642879.0368102121,46011.1781294712
m_0,m,3,66042.27788714042,62381.68115599321,3660.596731147205,0.05655095721840181,285729.17836441647,16158.258541735215
m_0,m,4,94685.91421465208,90478.25692594098,4207.657288711096,0.04515231015227019,327969.8280735663,14808.595397764397
m_0,m,8,370.8199201371922,230.0027731418121,140.81714699538009,0.45072684374611943,11408.23394582854,5141.997279120636
m_0,m,5,7601.309081372885,7320.590170241757,280.71891113112815,0.03741967155030554,21857.198376390654,817.8891842544098
m_0,m,6,88482.03551122142,87722.70239760325,759.333113618166,0.008605532282973498,58083.66640168023,499.84086633312234
m_1,m,1,2839.8016959143865,986.7394637634495,1853.062232150937,0.9630814353493815,4690976.956856462,4517792.820800195
m_1,m,0,106989.34472867502,102364.79060904833,4624.554119626686,0.044187689281629694,-11707209.440526387,517314.5331129418
m_1,m,2,3583.9400544334376,3431.589569529099,152.35048490433837,0.043440093698179805,-385682.2912897953,16754.074871357385
m_1,m,4,93780.47063367121,93472.29244784654,308.1781858246686,0.003291531428952207,780168.1063830758,2567.947842026023
m_1,m,3,65219.54594463074,64994.51802274332,225.02792188742023,0.0034562304013461007,569669.8145616722,1968.910131817247
m_1,m,6,88456.08852216347,88211.6418383899,244.4466837735672,0.002767271955532007,618825.9578841197,1712.4597186079552
m_1,m,7,114306.25163948497,114120.19796053508,186.0536789498874,0.0016289887592958725,470993.1938260098,767.2426184474322
m_1,m,5,7543.465873521529,7519.511788696198,23.954084825330938,0.003180484027638782,60640.883821936644,192.8673624175685
m_1,m,8,323.3417093036551,320.11177204752346,3.2299372561316204,0.010039142960320699,8176.94147799048,82.08948447572246
m_2,m,2,5060.672008140224,1823.4130461391146,3237.258962001109,0.9307994949124884,4086464.1419849433,3803678.7593375803
m_2,m,0,109147.59824488832,100390.07450665798,8757.523738230331,0.0836456874552183,-11055767.194469767,924767.2473262738
m_2,m,1,2011.04186452312,1858.627345316305,152.41451920681493,0.0788209327665924,-192417.05564629583,15166.491806242351
m_2,m,4,93945.92227518483,93293.68061808613,652.241657098697,0.006966557221882615,823426.6614297323,5736.448954873992
m_2,m,3,65338.856441971235,64865.834698070306,473.0217439009284,0.007265429172060631,597171.5572204011,4338.707652553977
m_2,m,6,88593.8129811903,88062.47606461006,531.3369165802433,0.006015201524051511,670780.369307833,4034.8790997643127
m_2,m,7,114432.78994794977,113981.70210013956,451.0878478102095,0.003949581278338715,569441.9584762095,2249.057298298169
m_2,m,5,7556.443229226601,7505.493296174363,50.94993305223761,0.006765043495442478,64321.899502366054,435.14044784298625
m_2,m,8,324.77977592563406,318.59965277318673,6.180123152447322,0.019209758069840613,7802.784496294234,149.88960244491537
m_3,m,3,82963.03126874566,38712.6749297388,44250.35633900686,0.699994631456761,43156514.96870592,30209328.790477492
m_3,m,7,140487.98574071075,94323.49234575818,46164.49339495257,0.39924458336812024,-45100339.26703883,18006066.16042979
m_3,m,6,106395.56645975441,74246.61991852468,32148.94654122973,0.3603473480586166,-31432532.66913361,11326629.790088126
m_3,m,4,111680.63561036934,79334.12326390421,32346.512346465126,0.34242726547691454,-31637558.609929558,10833562.681163792
m_3,m,5,9002.333698395929,6370.883529740631,2631.4501686552976,0.34622408665735177,-2573567.0312559926,891030.8948480783
m_3,m,0,105901.39995618846,103051.13093095747,2850.269025230984,0.027257564878697998,2786456.459787073,75952.01773431328
m_3,m,2,3727.6330756976304,3253.0761951516265,474.55688054600387,0.13561075866797884,464857.2185632443,63039.640081648016
m_3,m,1,2037.5838006091485,1811.5864721366413,225.9973284725072,0.11715002599881438,221346.74076779082,25930.77643569952
m_3,m,8,341.01775894818195,304.1263287431545,36.89143020502746,0.11453044796381116,-36158.11821392113,4141.205476568826
m_4,m,7,154380.95506368496,87354.34256184784,67026.61250183712,0.572115000303595,-46853490.180985615,26805584.54911907
m_4,m,4,111308.43517668595,60420.72689223474,50887.708284451204,0.5641760455793735,35387557.312949695,19964812.147533398
m_4,m,6,115688.71527579962,69230.81705104322,46457.8982247564,0.5152745930770618,-32528344.8831521,16761029.673136525
m_4,m,3,84234.15197372994,51487.70738691735,32746.44458681259,0.4937052032908694,-22944368.090925694,11327753.912711008
m_4,m,5,9750.930856359037,5955.120915524532,3795.8099408345042,0.4946315560562669,-2659332.502843698,1315389.7739525852
m_4,m,2,3802.5731188312416,3145.151195977792,657.4219228534494,0.18826049740020054,462101.81224965025,86995.51702365324
m_4,m,0,106017.46887891508,102714.82956171295,3302.6393172021344,0.03159829111668723,2311492.8102481803,73039.22273235148
m_4,m,1,2072.0455445721263,1760.889382674774,311.1561618973524,0.161595256549666,218649.72102328908,35332.7577632713
m_4,m,8,349.3080563081913,297.62186528105923,51.686191027132054,0.16026368972076124,-36370.76198181252,5828.912513160861
m_5,m,5,11079.862137517994,3840.3686794688306,7239.493458049163,0.9652832685033539,64634463.264995806,62390565.95839511
m_5,m,7,116832.00249149595,111680.21573137352,5151.786760122428,0.045098826258285304,-45995918.14165402,2074361.9208607678
m_5,m,4,95508.32980219556,91799.7146456987,3708.6151564968604,0.03960508071889,-33111514.275798928,1311384.195617695
m_5,m,6,90157.49936115155,86565.07570477632,3592.4236563752347,0.04066261690284095,-32074027.606974863,1304213.8971135635
m_5,m,3,66428.09215054709,63825.06378096614,2603.0283695809485,0.039974886261028755,-23240527.70158808,929037.4515172715
m_5,m,2,3531.894292732606,3480.972901019008,50.92139171359804,0.014521799850092564,454649.52065267815,6602.329340858718
m_5,m,0,104746.16673818161,104533.0398906488,213.12684753281064,0.002036754504346142,1902837.7376019047,3875.6133331005017
m_5,m,1,1944.631779955601,1920.6803490174334,23.951430938167505,0.012392650231464668,213848.97325313755,2650.155527883977
m_5,m,8,323.7333801575294,319.76792053323504,3.96545962429434,0.012324852804054069,-35405.72477159552,436.3703462307657
m_6,m,6,106786.74192824295,55935.56259060659,50851.17933763636,0.59648121515139,41247204.71780548,24603182.79167476
