Parameter,Type,DOF,MaxEnergy,MinEnergy,Range,RelChange,Slope,ImpactScore
m_0,m,0,7659.042019537777,2650.2315336283496,5008.810485909427,1.0618389453191373,-413506.0028934785,439076.7779955433
m_0,m,4,1400.960084122887,116.80354584610961,1284.1565382767776,2.489944396599652,-97326.34245744122,242337.18104344458
m_0,m,7,1132.8974535290795,79.56844873461557,1053.3290047944638,2.6167434171027137,-79568.73568362101,208210.96530730108
m_0,m,6,1172.082442768133,94.9021986909337,1077.1802440771992,2.512432406139742,-81588.99107377767,204986.82515800514
m_0,m,3,1010.85270117559,84.77045010195472,926.0822510736353,2.485386181200365,-70197.44113584452,174467.75015465403
m_0,m,2,986.6419953744361,111.31512918858942,875.3268661858467,2.2375765214317385,-66872.87375697521,149633.17223927638
m_0,m,8,17999.38424390518,12865.39857542079,5133.985668484391,0.3180605686280101,409469.51243901596,130236.10596218746
m_0,m,1,493.13503541072816,55.792437750058724,437.3425976606694,2.2351004935077063,-33414.69319986879,74685.19726143533
m_0,m,5,109.92563793901815,9.112686918767881,100.81295102025027,2.494360703855489,-7639.688226931307,19056.13810296487
m_0,m,9,38.25471532592859,17.09421892095591,21.160496404972683,0.7141865084837076,1731.6011278228927,1236.686163566282
m_1,m,1,200.4879801715851,71.55111505174878,128.9368651198363,0.9392829209505591,326364.1931908096,306548.3126739362
m_1,m,0,4488.415794201865,4191.610363761342,296.8054304405223,0.06841777727865606,-751337.7533347051,51404.859068699676
m_1,m,4,353.8552768233118,327.316294933665,26.538981889646777,0.07796245338992164,-67180.50852083703,5237.55726426699
m_1,m,7,266.90537366873883,245.54428396147983,21.361089707258998,0.08341676265649853,-54072.974621041016,4510.592490094246
m_1,m,6,292.42533249790165,270.2414695835504,22.183862914351266,0.07889465847120469,-56155.95427076593,4430.404833316667
m_1,m,3,255.96237963874785,236.8089829287892,19.153396709958656,0.0777780958175359,-48484.722585316245,3771.049398927374
m_1,m,2,285.929238551104,267.03655594108227,18.892682610021723,0.06836171978804001,-47825.24473302633,3269.415979233582
m_1,m,8,16771.115275299555,16631.98654761879,139.1287276807634,0.008329934361307917,352206.6450280194,2933.8582346998787
m_1,m,5,27.69813497487251,25.616120441869892,2.082014533002617,0.07814459339580491,-5270.389459501261,411.85244135026204
m_1,m,9,31.56492212868583,30.921911629272046,0.6430104994137835,0.020579216218029262,1627.8426843843827,33.499726570883375
m_2,m,2,387.3538617486595,148.0086223376281,239.34523941103137,0.8784824630647804,301979.8214240819,265283.97732049
m_2,m,0,4647.438219749758,4052.9250482570983,594.5131714926597,0.13690097158122866,-750374.6863428871,102727.02361030095
m_2,m,4,368.0893771345907,315.00749398956305,53.08188314502763,0.15574073873385064,-66995.55871980118,10433.937806908903
m_2,m,7,278.38790928431234,235.65891210781595,42.72899717649639,0.16662927536081046,-53927.926895676115,8985.971380337272
m_2,m,6,304.3282716730888,259.95658553508264,44.37168613800617,0.15760193013481344,-56002.0683734008,8826.034067189757
m_2,m,3,266.2344092783454,227.92491052086987,38.30949875747555,0.15537263651836494,-48351.114586891956,7512.440151966977
m_2,m,8,16837.16097894507,16558.261337839896,278.89964110517394,0.016700023931714828,352074.07073954213,5879.645407086613
m_2,m,1,148.16100716824366,129.24523844692803,18.91576872131563,0.13661129979921213,-23874.90653467958,3261.582014287281
m_2,m,5,28.81490336216929,24.650554198347553,4.164349163821736,0.1561043957784727,-5255.893085723618,820.4680144231379
m_2,m,9,31.87469313937794,30.58825912329069,1.2864340160872487,0.04117864522354596,1624.1576218596188,66.88061049767535
m_3,m,3,345.54431047768355,131.69278472778043,213.85152574990312,0.8807505527221506,209511.686149853,184527.53337823277
m_3,m,0,4651.630652727429,4049.118736224684,602.511916502745,0.13874012986091633,-590488.0239830241,81924.38512872063
m_3,m,8,16858.195620157123,16535.207314438318,322.98830571880535,0.019340495865103398,316584.81089526607,6122.907226074434
m_3,m,4,364.14359862254,318.3835606647697,45.76003795777035,0.13430851447667083,-44848.49831119492,6023.53518468607
m_3,m,7,275.2470720473869,238.33232752190335,36.91474452548354,0.14401387258224102,-36178.75917914443,5210.243214608889
m_3,m,2,296.2898747923177,257.9888837604934,38.30099103182425,0.1384430688627185,-37536.73281047353,5196.700485361852
m_3,m,6,301.0366224030621,262.77040896679057,38.26621343627153,0.13596740995831033,-37503.83076014397,5099.298731971584
m_3,m,1,148.2970950345229,129.12190032882452,19.175194705698374,0.1384820588655062,-18792.56703658899,2602.433374594888
m_3,m,5,28.505475001056794,24.91525854386366,3.590216457193133,0.1346326434811561,-3518.697159160292,473.7315001473844
m_3,m,9,31.873357424978522,30.58785844048641,1.2854989844921114,0.04114922318848074,1260.1801105072045,51.85543262494528
m_4,m,4,465.7904386896871,186.91034830811617,278.88009038157094,0.8347594502313425,196122.5253415229,163715.1314320722
m_4,m,0,4781.064456513489,3945.001374943446,836.0630815700429,0.1922709162680644,-588375.9412635182,113127.58133682147
m_4,m,8,16915.548392901193,16466.51136190035,449.03703100084385,0.02689233454907807,316088.3817448878,8500.354508960225
m_4,m,2,304.51555968389647,251.3682271603387,53.147332523557765,0.19185957186599228,-37402.381471466615,7176.004895884107
m_4,m,7,283.0800226218147,232.01466655140402,51.06535607041067,0.19895780507832708,-35938.455585439864,7150.2362411840595
m_4,m,6,309.1338167982898,256.20413877401415,52.92967802427563,0.18784264216052207,-37251.5566559061,6997.430826837784
m_4,m,3,270.4475346735064,224.62756378859646,45.819970884909964,0.18567983685139147,-32247.942879848928,5987.79277272334
m_4,m,1,152.4153915532657,125.80743649162699,26.607955061638705,0.19191356196730597,-18725.310547530982,3593.641046120635
m_4,m,5,29.264804873841314,24.29891770267531,4.965887171166003,0.18599859488746082,-3494.975673264695,650.0605643930907
m_4,m,9,32.10597772178871,30.324321720007855,1.7816560017808563,0.05704391023388861,1254.471417755432,71.55995494541985
m_5,m,5,39.65871061815364,13.413232811751872,26.24547780640177,0.9870707178049443,234332.81752036023,231303.062395077
m_5,m,0,4369.486646623277,4304.096504071253,65.39014255202437,0.015078312989751371,-583838.1126126958,8803.293797319935
m_5,m,8,16720.383633117603,16685.124506683474,35.25912643412812,0.002110971694732358,314812.8005173976,664.5609110316506
m_5,m,4,342.7522996261255,337.799924269714,4.952375356411494,0.014554269424324005,-44217.4718452359,643.5529984980244
m_5,m,2,278.35666166498544,274.1998008775592,4.15686078742624,0.015046233266351938,-37114.67398278371,558.436042349567
m_5,m,7,257.9592127251818,253.97665131296313,3.9825614122187005,0.015559157483842592,-35558.44428300934,553.2594344797845
m_5,m,6,283.13725593252053,279.00895086316234,4.128305069358191,0.0146879409544582,-36859.72815884368,541.3935107944762
m_5,m,3,247.95504011534354,244.36991677305835,3.5851233422851863,0.014564332238521386,-32009.909920422713,466.20296300617804
m_5,m,1,139.31876875343505,137.23766328018527,2.081105473249778,0.015050443801090732,-18581.221464335216,279.655629404598
m_5,m,9,31.317034158266026,31.177356194674857,0.13967796359116846,0.004470080255451332,1247.123349714992,5.574741461673312
m_6,m,6,390.5931473703142,151.9557934220588,238.63735394825542,0.8623952199155278,195420.56206501188,168529.75859807196
m_6,m,0,4704.11784455519,4005.9316625118104,698.1861820433792,0.1606945587628887,-572013.7669079966,91919.49987957839
m_6,m,8,16884.71277678528,16504.181427071926,380.53134971335385,0.02278753243125026,311817.62022649526,7105.554133546538
m_6,m,4,368.03791999118243,315.1541160918094,52.88380389937305,0.15514994763978024,-43329.126468680166,6722.511702893144
m_6,m,2,299.62629948436734,255.24220930085065,44.38409018351669,0.16035516020471643,-36363.349385996255,5831.0507163715065
